event_title,event_date,event_venue,event_city,event_organizer,event_organizer_address,event_organizer_phone,event_organizer_email,event_organizer_contact_person,event_chief_guest,event_awards_latest,event_awards_nominee,event_organizer_team_size,event_photographer,event_security_agency,event_near_police_station,event_near_police_station_contact,event_start_date,event_end_date,event_caterer,event_caterer_mobile,event_caterer_address,event_electrician,event_flower_decorater,event_nursery_contractor,event_music_system,event_mentor_name,event_marketing_agency,event_marketing_coordinater,event_sponsor_companies,event_media_agencies,event_transporation_agencies,event_travel_agencies,event_benificieries,event_artists,event_celebrities,event_agency_founder,event_agency_ceo,event_agency_ceo_linkedin,event_agency_ceo_mobile,event_business_model,event_agency_history
The New Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
The Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
The Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
The Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
The Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
The Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
The Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
The Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
The Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
The Geeta Event,23-05-2023,Indore,Indore,Anil Caterers,Gandhi Nagar,9827062303,anil@gmail.com,Anil Ji Joshi,Geeta Joshi,Excellent,Fantastic,55,Manish Rawriya,Security Agency,Bhanwar Kua,7314263617,2023-05-23T00:00:00.000Z,24-05-2023,Anil Joshi,8817645627,Gandhi Nagar,Mukesh,Thapa,Rudraksh,Rajat Tejawat,Arun Sharma,Digital Marketing,Shubh Sankalp,Oye pappe,Dainik Bhaskar,OLa,yatra,aam janta,sand artist,Ajay Devgan,Kl Sharma,Anil Tiwari,linkedin.com,9826068480,Business Model,Agency History
