pratyashi_yuvak_yuvati,pratyashi_vishesh_parishisht,pratyashi_adhik_aayu,pratyashi_talakshuda,pratyashi_pura_name,pratyashi_janm_dinank,pratyashi_janm_ghanta,pratyashi_janm_minute,pratyashi_janm_ampm,pratyashi_sthan_rajya,pratyashi_sthan_zila,pratyashi_sthan_gaaon_shahar,pratyashi_gautra_swyam,pratyashi_gautra_nanihal,pratyashi_sharirik_uchai,pratyashi_sharirik_inch,pratyashi_sharirik_vajan,pratyashi_sharirik_rang,pratyashi_jankari_rashi,pratyashi_jankari_nakshatr,pratyashi_jankari_naadi,pratyashi_jankari_charan,pratyashi_manglik,pratyashi_shani,pratyashi_patrika_milan,pratyashi_shekshanik_yogyata,pratyashi_vyavsay,pratyashi_masik_aay,pratyashi_pita_vyavsay,pratyashi_pita_masik_aay,pratyashi_pita_naam,pratyashi_vartaman_pata,pratyashi_vartaman_rajya,pratyashi_vartaman_zila,pratyashi_vartaman_gaaon_shahar,pratyashi_vartaman_pincode,pratyashi_sthayi_pata,pratyashi_sthayi_rajya,pratyashi_sthayi_zila,pratyashi_sthayi_gaaon_shahar,pratyashi_sthayi_pin_code,pratyashi_photo
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
Sony INC,TV/Electronics/Mobile,"Mobile,TV,Refrigerator",1234567890,1234567890,sony@testing.com,www.testing.com,Limbodi Khandwa Road,452001,Indore,MP,INDIA,91,ASIA,7314263617,qrcode,barcodenumber,2023-07-20T00:00:00.000Z,licensenumber,BTVPS90121AP,GST12345XYZ,certificate.jpg,gumasta.jpg,moa.jpg,msme.jpg,1.57999E+11,cheque.jpg,5555,Tim,Rose,timrose@gmail.com,1234,www.linkedin.com,reviews_id,4.5,www.facebook.com,www.instagram.com,www.linkedin.com,www.youtube.com,"India,Nepal","att1,att2",Apple story is very inspiring....
